TimeStamp,TYPE_ACCELEROMETER_X,TYPE_ACCELEROMETER_Y,TYPE_ACCELEROMETER_Z,TYPE_MAGNETIC_FIELD_X,TYPE_MAGNETIC_FIELD_Y,TYPE_MAGNETIC_FIELD_Z,TYPE_GYROSCOPE_X,TYPE_GYROSCOPE_Y,TYPE_GYROSCOPE_Z,TYPE_ROTATION_VECTOR_X,TYPE_ROTATION_VECTOR_Y,TYPE_ROTATION_VECTOR_Z,TYPE_LINEAR_ACCELERATION_X,TYPE_LINEAR_ACCELERATION_Y,TYPE_LINEAR_ACCELERATION_Z,TYPE_GRAVITY_X,TYPE_GRAVITY_Y,TYPE_GRAVITY_Z
20160924-002619,,,,12.338257,-16.331482,-36.99341,,,,,,,,,,,,
20160924-002619,-0.08618164,0.12449646,9.780304,12.338257,-16.331482,-36.99341,,,,,,,,,,,,
20160924-002619,-0.05744934,0.11012268,9.895233,12.338257,-16.331482,-36.99341,,,,,,,,,,,,
20160924-002619,-0.04788208,0.06703186,9.909592,12.338257,-16.331482,-36.99341,,,,,,,,,,,,
20160924-002619,-0.04788208,0.06703186,9.909592,12.338257,-16.331482,-36.99341,0.007446289,-0.014907837,0.002105713,,,,,,,,,
20160924-002619,-0.04788208,0.06703186,9.909592,12.338257,-16.331482,-36.99341,0.007446289,-0.014907837,0.002105713,,,,,,,-0.0655365,0.113861084,9.80574
20160924-002619,-0.04788208,0.06703186,9.909592,12.338257,-16.331482,-36.99341,0.007446289,-0.014907837,0.002105713,,,,0.017654419,-0.046829224,0.10383606,-0.0655365,0.113861084,9.80574
20160924-002619,-0.04788208,0.06703186,9.909592,13.670349,16.625977,-43.785095,0.007446289,-0.014907837,0.002105713,,,,0.017654419,-0.046829224,0.10383606,-0.0655365,0.113861084,9.80574
20160924-002619,-0.09576416,-0.02394104,8.9327545,13.670349,16.625977,-43.785095,0.007446289,-0.014907837,0.002105713,,,,0.017654419,-0.046829224,0.10383606,-0.0655365,0.113861084,9.80574
20160924-002619,-0.09576416,-0.02394104,8.9327545,13.670349,16.625977,-43.785095,0.007446289,-0.014907837,0.002105713,3.2043457E-4,0.011642456,0.33587646,0.017654419,-0.046829224,0.10383606,-0.0655365,0.113861084,9.80574
